post viewers ,comment,like,share,Total Interactions
238,0,2,0,2
391,0,6,1,7
452,0,4,1,5
584,0,2,,2
617,1,3,2,6
619,1,1,2,4
645,0,4,1,5
652,0,11,1,12
659,1,7,2,10
677,0,7,,7
677,0,7,2,9
729,0,7,0,7
747,0,9,1,10
754,0,3,0,3
786,0,6,2,8
834,0,7,2,9
861,2,28,4,34
910,0,8,2,10
1060,0,18,,18
1080,4,32,3,39
1101,3,51,11,65
1228,0,0,0,0
1261,0,,,0
1330,2,17,9,28
1384,0,0,0,0
1388,0,13,4,17
1445,0,56,8,64
1531,3,30,6,39
1536,1,12,1,14
1543,2,30,6,38
1591,0,34,8,42
1592,0,15,2,17
1659,3,36,11,50
1673,2,28,4,34
1683,1,27,11,39
1685,0,54,16,70
1711,2,63,14,79
1722,2,40,12,54
1728,1,48,9,58
1729,0,23,2,25
1804,0,61,6,67
1809,2,64,7,73
1874,0,0,0,0
1920,1,52,7,60
1925,6,18,8,32
2149,0,48,7,55
2168,0,53,17,70
2219,0,78,13,91
2225,2,111,16,129
2232,0,62,10,72
2257,3,76,11,90
2291,0,80,14,94
2295,0,63,7,70
2352,2,60,7,69
2363,11,68,11,90
2402,5,57,5,67
2413,0,66,14,80
2425,4,66,13,83
2426,7,125,16,148
2428,4,117,18,139
2478,0,100,17,117
2540,2,86,8,96
2545,0,40,13,53
2549,5,137,10,152
2585,0,19,5,24
2594,1,54,11,66
2626,2,124,22,148
2656,1,115,21,137
2690,0,96,17,113
2718,0,50,10,60
2723,0,72,24,96
2752,4,79,17,100
2763,0,62,10,72
2772,2,72,9,83
2812,4,79,16,99
2819,1,115,26,142
2822,2,113,20,135
2847,0,90,14,104
2848,3,66,12,81
2881,0,73,15,88
2933,0,6,0,6
2935,4,64,19,87
2973,0,94,20,114
3002,4,98,23,125
3024,0,64,20,84
3028,2,59,12,73
3046,1,71,17,89
3090,5,153,27,185
3100,3,146,15,164
3102,7,84,28,119
3110,2,33,10,45
3112,0,88,18,106
3144,1,58,13,72
3176,1,98,21,120
3212,1,40,8,49
3234,0,58,17,75
3272,0,32,7,39
3290,1,44,14,59
3322,1,71,23,95
3322,2,74,14,90
3330,2,61,16,79
3332,0,87,18,105
3334,4,37,3,44
3358,2,114,16,132
3358,8,109,3,120
3366,3,198,41,242
3376,0,40,5,45
3384,2,101,25,128
3406,1,98,19,118
3416,19,77,23,119
3418,2,51,6,59
3454,0,16,2,18
3460,0,96,19,115
3480,0,53,22,75
3504,9,102,19,130
3528,2,95,17,114
3544,1,51,6,58
3558,0,78,16,94
3576,2,84,13,99
3582,4,154,36,194
3594,4,112,23,139
3600,0,72,21,93
3674,9,181,32,222
3690,0,56,12,68
3706,18,46,7,71
3734,5,137,20,162
3754,2,29,7,38
3754,8,107,20,135
3756,16,117,30,163
3766,2,56,17,75
3772,0,3,0,3
3778,4,93,18,115
3786,0,77,15,92
3806,1,79,17,97
3824,1,71,18,90
3884,1,57,13,71
3906,0,7,3,10
3930,4,54,17,75
3992,6,244,32,282
4010,2,166,32,200
4012,3,270,38,311
4048,5,223,35,263
4068,0,61,13,74
4094,0,4,0,4
4118,1,28,7,36
4122,1,27,11,39
4132,2,98,18,118
4156,7,91,38,136
4188,0,91,28,119
4202,3,148,16,167
4220,10,167,26,203
4240,3,114,21,138
4248,5,93,19,117
4280,1,124,32,157
4284,0,47,11,58
4320,5,141,26,172
4324,6,179,27,212
4344,1,107,26,134
4390,1,63,26,90
4398,5,204,34,243
4406,1,75,15,91
4452,0,22,3,25
4480,3,188,26,217
4484,6,179,40,225
4512,6,172,21,199
4518,7,250,42,299
4552,1,52,24,77
4582,5,190,57,252
4592,1,43,10,54
4664,0,32,16,48
4666,9,152,41,202
4684,5,53,26,84
4694,3,113,26,142
4708,1,142,37,180
4732,9,301,32,342
4762,2,208,28,238
4770,2,97,25,124
4800,1,74,28,103
4892,4,118,22,144
4894,9,202,31,242
4898,1,76,9,86
4908,1,44,21,66
4910,12,138,38,188
4940,33,107,22,162
4986,2,92,28,122
5016,6,212,36,254
5034,2,56,25,83
5040,2,82,24,108
5046,2,80,21,103
5080,0,39,14,53
5086,30,187,35,252
5132,0,2,0,2
5168,0,12,2,14
5206,1,144,29,174
5240,0,46,15,61
5280,2,155,47,204
5280,1,79,30,110
5282,9,278,43,330
5292,6,226,42,274
5302,4,138,26,168
5312,0,48,20,68
5338,1,62,10,73
5400,10,125,41,176
5458,1,143,27,171
5526,2,69,26,97
5536,1,74,31,106
5560,7,142,24,173
5568,13,319,55,387
5704,1,15,1,17
5728,3,155,32,190
5730,2,32,15,49
5746,16,227,28,271
5786,4,49,15,68
5812,2,164,54,220
5878,3,98,27,128
5880,5,79,11,95
5976,2,267,40,309
5990,18,370,53,441
5994,11,235,34,280
6000,3,72,24,99
6056,7,84,36,127
6150,12,148,28,188
6172,1,64,22,87
6208,2,234,40,276
6360,9,164,52,225
6400,0,32,6,38
6408,26,162,7,195
6416,0,96,29,125
6444,5,194,33,232
6484,4,128,38,170
6596,0,66,13,79
6668,3,53,13,69
6692,2,99,16,117
6692,4,304,47,355
6768,2,180,44,226
6876,2,68,15,85
6952,11,231,43,285
6984,25,256,54,335
7192,11,95,4,110
7228,5,128,32,165
7232,2,75,24,101
7244,19,325,49,393
7268,7,26,3,36
7512,22,290,98,410
7732,7,160,57,224
7980,2,264,21,287
8260,1,74,11,86
8284,0,88,18,106
8324,0,14,1,15
8412,17,185,55,257
8488,3,99,19,121
8500,5,159,53,217
8612,7,161,25,193
8628,4,72,18,94
8728,2,86,13,101
8896,0,129,25,154
9056,3,226,44,273
9084,2,93,26,121
9120,3,25,6,34
9232,1,129,36,166
9356,4,114,13,131
9384,6,363,40,409
9504,17,193,28,238
9528,14,198,70,282
9528,10,193,61,264
9560,36,523,63,622
9700,21,277,80,378
9880,0,35,5,40
10060,4,86,18,108
10152,2,55,10,67
10188,13,61,13,87
10460,5,130,29,164
10472,1,152,33,186
10744,3,148,28,179
10844,4,213,13,230
10888,12,237,45,294
10956,3,13,1,17
11096,4,243,41,288
11336,4,41,9,54
11420,12,211,14,237
11484,56,360,99,515
11620,5,54,7,66
11844,0,161,31,192
12044,0,104,13,117
12540,3,46,14,63
12776,12,328,90,430
13152,2,227,36,265
13280,7,216,39,262
13544,2,99,13,114
13544,0,36,5,41
13872,4,217,50,271
14152,4,102,8,114
14200,3,87,10,100
14424,41,15,1,57
14824,64,367,25,456
15288,5,264,36,305
15296,9,95,17,121
15816,6,186,40,232
16576,4,174,36,214
17360,9,484,79,572
17576,11,227,31,269
18056,25,307,58,390
18120,0,189,15,204
18320,36,98,14,148
18552,4,400,25,429
19552,10,412,72,494
19648,9,766,43,818
19968,6,535,83,624
20528,3,148,21,172
20896,103,469,33,605
20920,1,96,18,115
21176,2,130,31,163
21248,20,199,32,251
21256,38,163,27,228
21744,0,233,19,252
21928,0,73,13,86
22464,3,142,18,163
22984,4,85,8,97
24264,9,194,33,236
24720,13,331,77,421
26944,6,194,34,234
28112,11,129,12,152
28128,6,154,18,178
28208,13,234,43,290
28352,45,407,76,528
28880,2,114,10,126
30624,6,345,121,472
32208,1,431,26,458
33536,33,1155,102,1290
34192,1,36,7,44
34480,10,664,97,771
34512,6,442,42,490
35008,0,48,8,56
38576,7,529,60,596
38960,37,821,90,948
39040,16,617,58,691
39600,1,101,5,107
39984,24,302,41,367
41984,144,1622,208,1974
44464,4,154,30,188
45920,0,128,9,137
47376,9,186,23,218
49632,7,227,15,249
50640,4,859,68,931
54256,10,755,58,823
55520,146,1546,181,1873
56672,20,1372,47,1439
58304,0,148,7,155
66784,3,187,36,226
68896,26,1505,95,1626
68992,15,143,44,202
70144,42,955,139,1136
70912,1,379,40,420
71360,5,81,11,97
72864,4,220,19,243
81856,45,1639,122,1806
109056,7,148,39,194
122944,0,136,13,149
128064,8,186,18,212
139008,23,204,44,271
158208,9,268,36,313
813,0,4,2,6
1006,1,11,3,15
1357,0,0,0,0
1845,0,0,0,0
1954,0,30,2,32
2055,1,84,13,98
2227,2,79,16,97
2232,2,74,22,98
2316,0,25,5,30
2351,1,104,12,117
2360,2,102,15,119
2431,0,15,3,18
2522,6,99,16,121
2566,10,140,8,158
2602,1,53,14,68
2628,3,42,10,55
2645,7,29,10,46
2645,4,59,9,72
2790,0,113,19,132
2823,1,72,16,89
2938,2,101,19,122
2938,2,107,17,126
2970,2,56,9,67
3130,0,48,14,62
3254,0,39,3,42
3286,1,87,27,115
3294,2,57,6,65
3414,3,188,26,217
3414,2,47,4,53
3528,0,66,9,75
3616,0,24,11,35
3662,2,67,14,83
3696,2,63,16,81
3714,5,91,26,122
3726,30,47,8,85
3776,3,97,22,122
3796,1,22,6,29
3934,3,113,17,133
4018,4,77,19,100
4022,3,65,14,82
4032,7,139,34,180
4096,10,145,31,186
4204,2,139,25,166
4260,1,226,44,271
4274,0,128,15,143
4336,12,155,23,190
4362,3,156,20,179
4412,1,55,7,63
4458,6,101,29,136
4644,4,154,26,184
4840,3,47,21,71
4938,0,5,2,7
5212,1,179,30,210
5290,1,89,14,104
5290,2,129,32,163
5298,5,140,38,183
5324,6,76,14,96
5402,0,112,14,126
5490,4,166,33,203
5582,2,163,35,200
5594,12,138,39,189
5754,0,65,19,84
5848,4,71,10,85
5854,11,202,5,218
6030,3,176,29,208
6184,1,105,46,152
6460,25,244,44,313
6564,47,358,49,454
6880,0,59,16,75
7132,4,136,42,182
7220,6,88,24,118
7492,8,236,51,295
7968,4,57,10,71
9124,20,150,29,199
9236,2,53,15,70
9604,16,127,0,143
9652,1,34,4,39
10040,19,214,78,311
10748,8,485,64,557
10824,6,14,1,21
10940,8,101,14,123
11304,18,168,49,235
11444,14,172,47,233
11608,4,330,29,363
11692,3,249,27,279
12468,7,310,61,378
12728,4,435,31,470
12824,0,286,30,316
13216,2,165,22,189
13720,0,325,14,339
13856,2,77,5,84
14320,2,59,6,67
15576,11,238,51,300
15880,1,200,37,238
16416,2,65,14,81
16776,10,377,60,447
17912,17,447,123,587
18480,6,187,18,211
19800,16,76,8,100
20168,18,332,54,404
20560,14,102,9,125
21872,18,315,76,409
22120,6,98,3,107
22304,29,1047,98,1174
22784,2,577,20,599
23832,6,210,39,255
25248,24,285,28,337
27056,6,234,26,266
27072,4,139,17,160
27216,4,219,22,245
28752,10,179,13,202
31136,60,859,90,1009
31904,2,126,32,160
32208,6,766,109,881
35360,7,38,11,56
36208,18,143,13,174
37088,7,579,47,633
37376,20,411,74,505
39344,7,146,9,162
39568,4,128,17,149
40336,4,104,10,118
44288,2,152,11,165
46192,9,329,38,376
50128,58,1572,147,1777
50736,3,41,9,53
50912,8,144,10,162
52736,0,24,4,28
53056,6,696,28,730
53264,15,678,20,713
53456,20,697,70,787
63840,9,197,28,234
66976,7,215,47,269
76096,22,534,31,587
95424,6,109,11,126
98816,10,197,21,228
100768,17,449,84,550
105632,51,1998,128,2177
153536,8,134,34,176
180480,372,5172,790,6334
